parent,daughter,loss,count,erythroxylum_plowmanianum,gentiana_pubigera,persicaria_orientalis,oxyspora_paniculata,caesalpinia_enneaphylla,erythroxylum_coca,stranvaesia_davidiana,blank,cocaine
54.96,52.72,2.24,2,,,,,,,2,,
55.06,53.04,2.02,3,1,,,,1,1,,,
56.39,55.06,1.33,2,,,,2,,,,,
56.8,55.64,1.16,2,,,,,,,2,,
56.97,55.06,1.91,3,,2,1,,,,,,
57.03,55.02,2.01,33,6,12,1,8,1,5,,,
57.03,55.05,1.98,24,7,,1,5,,11,,,
57.03,55.06,1.97,107,9,39,12,35,3,9,,,
57.07,54.08,2.99,2,2,,,,,,,,
57.07,55.02,2.05,29,1,8,1,13,1,5,,,
57.07,55.05,2.02,22,1,,3,2,,16,,,
57.07,55.06,2.01,246,48,88,11,65,7,25,,2,
57.07,55.94,1.13,2,,,1,,1,,,,
57.07,56.05,1.02,3,1,1,,1,,,,,
58.07,55.06,3.01,2,,2,,,,,,,
58.07,57.07,1,12,1,3,2,2,2,,,2,
59.01,52.72,6.29,2,,,,,,,2,,
59.01,54.96,4.05,2,,,,,,,2,,
59.05,55.05,4,2,,,,,,2,,,
59.05,55.06,3.99,6,3,1,1,,,1,,,
59.05,57.03,2.02,2,1,1,,,,,,,
59.05,57.07,1.98,8,5,,1,,,2,,,
59.34,55.64,3.7,2,,,,,,,2,,
59.34,56.8,2.54,2,,,,,,,2,,
59.99,55.06,4.93,3,,,1,,,,,2,
59.99,57.07,2.92,3,,,1,,,,,2,
60.05,55.02,5.03,2,,,,2,,,,,
60.05,55.06,4.99,21,2,8,,9,1,1,,,
60.05,56.05,4,4,2,1,,1,,,,,
60.05,57.07,2.98,19,3,5,,8,2,1,,,
60.08,58.07,2.01,3,3,,,,,,,,
60.18,55.06,5.12,2,,,,2,,,,,
61.01,55.94,5.07,2,,,,,2,,,,
61.03,55.02,6.01,6,4,,,,,2,,,
61.03,57.03,4,23,15,,,,,8,,,
61.03,57.07,3.96,10,5,,,,,5,,,
62.02,55.06,6.96,2,,,1,,1,,,,
62.02,55.94,6.08,2,,,,,2,,,,
62.02,61.01,1.01,2,,,,,2,,,,
62.06,57.07,4.99,5,2,,,,,3,,,
62.39,55.64,6.75,2,,,,,,,2,,
62.39,56.8,5.59,2,,,,,,,2,,
62.39,59.34,3.05,2,,,,,,,2,,
63.02,52.31,10.71,2,2,,,,,,,,
63.04,57.07,5.97,2,,,,,,2,,,
65.65,55.64,10.01,2,,,,,,,2,,
65.65,56.8,8.85,2,,,,,,,2,,
65.65,59.34,6.31,2,,,,,,,2,,
65.65,62.39,3.26,2,,,,,,,2,,
66.31,52.72,13.59,2,,,,,,,2,,
66.31,54.96,11.35,2,,,,,,,2,,
66.31,59.01,7.3,2,,,,,,,2,,
66.89,55.64,11.25,2,,,,,,,2,,
66.89,56.8,10.09,2,,,,,,,2,,
66.89,59.34,7.55,2,,,,,,,2,,
66.89,62.39,4.5,2,,,,,,,2,,
66.89,65.65,1.24,2,,,,,,,2,,
67.05,55.02,12.03,17,3,2,1,1,1,9,,,
67.05,55.05,12,60,12,,2,5,,41,,,
67.05,55.06,11.99,22,3,5,2,6,,6,,,
67.05,55.93,11.12,3,,,,,,3,,,
67.05,57.03,10.02,41,9,4,1,7,,20,,,
67.05,57.07,9.98,47,3,2,4,14,,24,,,
67.05,59.05,8,4,2,,,,,2,,,
67.05,61.03,6.02,9,1,,,,,8,,,
67.05,62.06,4.99,5,,,,,,5,,,
67.06,53.04,14.02,3,1,,,,1,1,,,
67.06,53.7,13.36,2,1,1,,,,,,,
67.06,55.02,12.04,42,1,18,1,18,4,,,,
67.06,55.05,12.01,4,1,,2,1,,,,,
67.06,55.06,12,356,59,135,24,85,19,34,,,
67.06,55.94,11.12,2,1,,,,1,,,,
67.06,56.05,11.01,3,1,1,,1,,,,,
67.06,56.97,10.09,2,,1,,1,,,,,
67.06,57.03,10.03,133,23,37,15,38,4,16,,,
67.06,57.07,9.99,267,61,90,12,74,9,21,,,
67.06,58.07,8.99,2,,2,,,,,,,
67.06,59.05,8.01,3,1,1,,,,1,,,
67.06,60.05,7.01,29,5,9,,10,3,2,,,
67.06,61.03,6.03,8,8,,,,,,,,
67.25,55.64,11.61,2,,,,,,,2,,
67.25,56.8,10.45,2,,,,,,,2,,
67.25,59.34,7.91,2,,,,,,,2,,
67.25,62.39,4.86,2,,,,,,,2,,
67.25,65.65,1.6,2,,,,,,,2,,
68.88,63.45,5.43,3,,,,,,,3,,
68.88,63.6,5.28,3,,,,,,,3,,
69,55.02,13.98,2,,,2,,,,,,
69.03,55.02,14.01,30,6,7,,6,1,10,,,
69.03,55.05,13.98,11,2,,,,,9,,,
69.03,55.06,13.97,47,6,21,,12,2,6,,,
69.03,56.97,12.06,2,,2,,,,,,,
69.03,57.03,12,69,22,16,,10,2,18,1,,
69.03,57.07,11.96,33,6,5,,10,,12,,,
69.03,59.01,10.02,2,,,,,,,2,,
69.03,59.05,9.98,5,3,1,,,,1,,,
69.03,61.03,8,28,16,1,,,,11,,,
69.03,63.04,5.99,2,,,,,,2,,,
69.03,67.05,1.98,28,6,2,,1,,19,,,
69.03,67.06,1.97,52,7,19,,16,3,7,,,
69.07,53.04,16.03,4,1,,,,1,2,,,
69.07,54.08,14.99,2,2,,,,,,,,
69.07,55.02,14.05,57,6,20,1,19,5,6,,,
69.07,55.05,14.02,63,13,,4,5,,41,,,
69.07,55.06,14.01,395,65,153,24,92,21,40,,,
69.07,55.93,13.14,4,,,,,,4,,,
69.07,55.94,13.13,4,1,,1,,2,,,,
69.07,56.05,13.02,3,1,1,,1,,,,,
69.07,56.61,12.46,2,,,,2,,,,,
69.07,56.97,12.1,6,,3,1,1,1,,,,
69.07,57.03,12.04,162,31,38,15,43,4,31,,,
69.07,57.07,12,381,82,110,17,100,14,58,,,
69.07,58.07,11,3,1,2,,,,,,,
69.07,58.27,10.8,2,,,,2,,,,,
69.07,59.05,10.02,8,3,1,1,,,3,,,
69.07,60.05,9.02,28,5,8,,10,2,3,,,
69.07,60.43,8.64,2,1,1,,,,,,,
69.07,61.01,8.06,2,,,,,2,,,,
69.07,61.03,8.04,15,8,,,,,7,,,
69.07,61.63,7.44,2,,,,2,,,,,
69.07,62.02,7.05,2,,,,,2,,,,
69.07,62.06,7.01,8,,,,,,8,,,
69.07,62.76,6.31,2,2,,,,,,,,
69.07,63.17,5.9,2,2,,,,,,,,
69.07,66.35,2.72,2,2,,,,,,,,
69.07,66.43,2.64,2,2,,,,,,,,
69.07,67.05,2.02,146,27,8,5,20,3,83,,,
69.07,67.06,2.01,519,112,166,30,121,30,60,,,
69.07,68.05,1.02,2,,1,,,,1,,,
70.07,57.03,13.04,2,1,,,,,1,,,
70.07,57.07,13,2,,,1,,1,,,,
70.07,67.05,3.02,2,,,,,,2,,,
70.07,69.03,1.04,2,,,,,,2,,,
70.07,69.07,1,2,,,,,,2,,,
70.55,63.45,7.1,3,,,,,,,3,,
70.55,63.6,6.95,3,,,,,,,3,,
70.55,68.88,1.67,3,,,,,,,3,,
70.7,69.07,1.63,2,,,,1,,1,,,
70.73,55.06,15.67,2,,2,,,,,,,
70.73,57.07,13.66,2,,2,,,,,,,
70.73,67.06,3.67,3,,3,,,,,,,
70.73,69.07,1.66,2,,2,,,,,,,
71.01,55.02,15.99,6,,3,,3,,,,,
71.01,55.06,15.95,8,,5,,3,,,,,
71.01,57.03,13.98,10,,6,,3,,,1,,
71.01,57.07,13.94,5,,2,,3,,,,,
71.01,59.01,12,33,,,,,,,33,,
71.01,59.98,11.03,2,,,,,,,2,,
71.01,67.06,3.95,8,,6,,2,,,,,
71.01,69.03,1.98,8,,5,,2,,,1,,
71.01,69.07,1.94,8,,5,,3,,,,,
71.05,55.02,16.03,29,2,9,,5,3,10,,,
71.05,55.05,16,23,5,,,3,,15,,,
71.05,55.06,15.99,59,14,24,1,11,4,5,,,
71.05,55.94,15.11,2,,,,,2,,,,
71.05,56.55,14.5,2,,,1,,,1,,,
71.05,57.03,14.02,54,9,21,,11,2,11,,,
71.05,57.07,13.98,43,10,10,,9,2,12,,,
71.05,59.05,12,5,3,1,,,,1,,,
71.05,61.01,10.04,2,,,,,2,,,,
71.05,61.03,10.02,4,2,,,,,2,,,
71.05,62.02,9.03,2,,,,,2,,,,
71.05,67.05,4,43,9,2,,4,1,27,,,
71.05,67.06,3.99,61,12,24,1,11,8,5,,,
71.05,69.03,2.02,54,9,13,,8,3,21,,,
71.05,69.07,1.98,93,22,24,,14,7,26,,,
71.09,53.04,18.05,2,,,,,1,1,,,
71.09,55.02,16.07,26,,4,,17,1,4,,,
71.09,55.05,16.04,16,3,,3,4,,6,,,
71.09,55.06,16.03,203,31,69,7,76,7,13,,,
71.09,56.05,15.04,2,1,,,1,,,,,
71.09,57.03,14.06,75,20,6,7,38,,4,,,
71.09,57.07,14.02,405,79,85,30,114,20,69,,8,
71.09,58.07,13.02,12,1,3,2,2,2,,,2,
71.09,60.05,11.04,21,4,6,,9,1,1,,,
71.09,61.03,10.06,12,8,,,,,4,,,
71.09,62.06,9.03,5,2,,,,,3,,,
71.09,66.43,4.66,2,2,,,,,,,,
71.09,67.05,4.04,44,6,,3,16,,19,,,
71.09,67.06,4.03,287,83,75,10,100,7,12,,,
71.09,69.03,2.06,26,4,4,,14,1,3,,,
71.09,69.07,2.02,373,90,86,14,125,11,47,,,
71.93,62.02,9.91,2,,1,,,1,,,,
72.08,52.31,19.77,2,2,,,,,,,,
72.08,55.05,17.03,4,4,,,,,,,,
72.08,55.06,17.02,2,1,,,,,,,1,
72.08,57.03,15.05,2,2,,,,,,,,
72.08,58.07,14.01,2,1,,,,,1,,,
72.08,63.02,9.06,2,2,,,,,,,,
72.94,55.94,17,2,,,,,2,,,,
72.94,61.01,11.93,2,,,,,2,,,,
72.94,62.02,10.92,3,,1,,,2,,,,
72.94,69.07,3.87,2,,,,,2,,,,
72.94,71.05,1.89,2,,,,,2,,,,
72.94,71.93,1.01,2,,1,,,1,,,,
72.99,71.01,1.98,2,,,,,,,2,,
73.03,55.02,18.01,19,4,1,,3,1,10,,,
73.03,55.05,17.98,6,1,,,,,5,,,
73.03,55.06,17.97,5,,1,,4,,,,,
73.03,57.03,16,41,21,1,,4,,14,1,,
73.03,57.07,15.96,17,3,1,,4,,9,,,
73.03,59.01,14.02,16,,,,,,,16,,
73.03,61.03,12,31,17,,,,,14,,,
73.03,67.05,5.98,20,2,,,1,1,16,,,
73.03,67.06,5.97,6,2,1,,3,,,,,
73.03,69.03,4,49,21,1,,4,,21,2,,
73.03,69.07,3.96,27,9,1,,4,1,12,,,
73.03,71.01,2.02,19,,1,,2,,,16,,
73.03,71.05,1.98,21,5,1,,3,1,11,,,
73.03,71.09,1.94,23,3,,,4,,15,,1,
73.07,57.07,16,13,,,,1,,12,,,
73.07,69.07,4,11,,,,,,11,,,
73.07,71.09,1.98,25,,,,1,,24,,,
73.5,69.07,4.43,2,,,,2,,,,,
75.66,55.06,20.6,2,,,,2,,,,,
78.71,55.06,23.65,2,,,1,1,,,,,
78.71,67.06,11.65,2,,,1,1,,,,,
78.76,55.06,23.7,2,1,,,1,,,,,
78.76,57.03,21.73,2,2,,,,,,,,
78.76,57.07,21.69,2,1,,,1,,,,,
78.76,67.06,11.7,2,1,,,1,,,,,
78.76,69.03,9.73,2,1,,,1,,,,,
78.76,69.07,9.69,3,2,,,1,,,,,
78.76,71.09,7.67,2,1,,,1,,,,,
78.89,57.07,21.82,2,,,2,,,,,,
78.94,63.45,15.49,3,,,,,,,3,,
78.94,63.6,15.34,3,,,,,,,3,,
78.94,68.88,10.06,3,,,,,,,3,,
78.94,70.55,8.39,3,,,,,,,3,,
79.02,56.97,22.05,2,,2,,,,,,,
79.02,57.07,21.95,2,,1,1,,,,,,
79.02,69.03,9.99,2,,2,,,,,,,
79.02,69.07,9.95,3,,2,,,1,,,,
79.05,53.04,26.01,3,1,,,,,2,,,
79.05,55.02,24.03,24,4,7,1,9,1,2,,,
79.05,55.05,24,59,16,,3,5,,35,,,
79.05,55.06,23.99,136,24,46,8,33,6,19,,,
79.05,55.93,23.12,3,,,,,,3,,,
79.05,55.94,23.11,3,1,,,,2,,,,
79.05,56.55,22.5,2,,,1,,,1,,,
79.05,57.03,22.02,74,15,16,5,15,1,22,,,
79.05,57.07,21.98,89,12,19,7,28,2,21,,,
79.05,59.05,20,6,2,1,,,,3,,,
79.05,60.05,19,11,1,3,,6,,1,,,
79.05,61.01,18.04,2,,,,,2,,,,
79.05,61.03,18.02,5,1,1,,,,3,,,
79.05,62.02,17.03,2,,,,,2,,,,
79.05,62.06,16.99,4,,,,,,4,,,
79.05,67.05,12,125,23,7,5,14,2,74,,,
79.05,67.06,11.99,172,38,48,8,38,12,28,,,
79.05,69.03,10.02,46,9,14,,6,2,15,,,
79.05,69.07,9.98,275,56,54,11,49,12,93,,,
79.05,70.07,8.98,2,,,,,,2,,,
79.05,71.01,8.04,2,,1,,1,,,,,
79.05,71.05,8,60,17,12,1,6,4,20,,,
79.05,71.09,7.96,91,16,17,6,40,1,11,,,
79.05,72.08,6.97,2,2,,,,,,,,
79.05,72.94,6.11,2,,,,,2,,,,
79.05,73.03,6.02,12,2,1,,2,1,6,,,
79.06,55.02,24.04,25,,12,,9,3,1,,,
79.06,55.06,24,187,34,62,17,47,13,14,,,
79.06,56.05,23.01,3,1,1,,1,,,,,
79.06,57.03,22.03,84,11,25,9,25,4,10,,,
79.06,57.07,21.99,119,35,28,7,35,6,8,,,
79.06,60.05,19.01,18,4,6,,4,3,1,,,
79.06,67.05,12.01,9,2,1,,,1,5,,,
79.06,67.06,12,250,58,68,19,62,19,24,,,
79.06,69.03,10.03,27,3,8,,9,2,5,,,
79.06,69.07,9.99,246,56,64,20,59,20,27,,,
79.06,71.01,8.05,7,,5,,2,,,,,
79.06,71.05,8.01,34,3,14,,7,5,5,,,
79.06,71.09,7.97,125,37,25,6,48,5,4,,,
79.06,73.03,6.03,3,,,,2,,1,,,
79.6,63.45,16.15,3,,,,,,,3,,
79.6,63.6,16,3,,,,,,,3,,
79.6,68.88,10.72,3,,,,,,,3,,
79.6,70.55,9.05,3,,,,,,,3,,
79.91,69.07,10.84,2,,,,2,,,,,
80.05,55.06,24.99,7,,3,,4,,,,,
80.05,57.07,22.98,5,,,,4,1,,,,
80.05,60.05,20,8,,3,,4,1,,,,
80.05,67.06,12.99,8,,3,,4,1,,,,
80.05,69.07,10.98,7,,3,,4,,,,,
80.05,71.09,8.96,10,,3,,4,1,2,,,
80.05,73.03,7.02,2,,,,,,2,,,
80.05,79.05,1,4,,,,4,,,,,
80.06,55.05,25.01,2,,,,,,2,,,
80.06,55.06,25,3,2,1,,,,,,,
80.06,57.07,22.99,2,1,,,,,1,,,
80.06,67.05,13.01,3,1,,,,,2,,,
80.06,67.06,13,3,2,1,,,,,,,
80.06,69.03,11.03,3,1,1,,,,1,,,
80.06,69.07,10.99,6,3,1,,,,2,,,
80.06,71.05,9.01,4,2,1,,,,1,,,
80.06,71.09,8.97,5,,,,,,5,,,
80.06,73.03,7.03,6,,,,,,6,,,
80.06,73.07,6.99,5,,,,,,5,,,
80.06,79.05,1.01,4,1,,,,,3,,,
80.06,79.06,1,3,2,1,,,,,,,
81.03,53.04,27.99,3,1,,,,1,1,,,
81.03,55.02,26.01,27,1,9,,8,1,8,,,
81.03,55.05,25.98,12,,,,2,,10,,,
81.03,55.06,25.97,80,6,34,5,28,5,2,,,
81.03,57.03,24,51,2,23,2,15,1,8,,,
81.03,57.07,23.96,38,3,11,,18,,6,,,
81.03,60.05,20.98,2,,1,,1,,,,,
81.03,61.03,20,3,3,,,,,,,,
81.03,67.05,13.98,26,1,5,,3,,17,,,
81.03,67.06,13.97,93,13,31,5,35,5,4,,,
81.03,69.03,12,59,3,20,,14,2,20,,,
81.03,69.07,11.96,119,13,37,6,38,5,20,,,
81.03,71.01,10.02,9,,5,,3,,,1,,
81.03,71.05,9.98,48,1,18,,11,2,16,,,
81.03,71.09,9.94,53,10,9,,29,1,4,,,
81.03,73.03,8,16,1,1,,4,,9,1,,
81.03,79.05,1.98,52,6,18,2,11,,15,,,
81.03,79.06,1.97,60,5,17,3,26,5,4,,,
81.06,55.06,26,4,,2,,2,,,,,
81.06,57.07,23.99,2,,,,2,,,,,
81.06,60.05,21.01,4,,2,,2,,,,,
81.06,67.06,14,4,,2,,2,,,,,
81.06,69.07,11.99,4,,2,,2,,,,,
81.06,71.09,9.97,4,,2,,2,,,,,
81.06,79.05,2.01,2,,,,2,,,,,
81.06,79.06,2,2,,2,,,,,,,
81.06,80.05,1.01,4,,2,,2,,,,,
81.07,53.04,28.03,4,1,,,,1,2,,,
81.07,53.7,27.37,2,1,1,,,,,,,
81.07,55.02,26.05,60,6,20,1,19,5,9,,,
81.07,55.05,26.02,67,15,,4,6,,42,,,
81.07,55.06,26.01,411,66,154,28,95,27,41,,,
81.07,55.93,25.14,3,,,,,,3,,,
81.07,55.94,25.13,4,1,,1,,2,,,,
81.07,56.05,25.02,3,1,1,,1,,,,,
81.07,56.55,24.52,2,,,1,,,1,,,
81.07,56.97,24.1,6,,3,1,1,1,,,,
81.07,57.03,24.04,180,37,41,16,45,5,36,,,
81.07,57.07,24,385,85,106,18,107,15,54,,,
81.07,58.07,23,10,3,5,,1,1,,,,
81.07,59.05,22.02,8,3,1,1,,,3,,,
81.07,60.05,21.02,31,6,10,,10,3,2,,,
81.07,60.08,20.99,2,2,,,,,,,,
81.07,61.01,20.06,2,,,,,2,,,,
81.07,61.03,20.04,18,10,,,,,8,,,
81.07,62.02,19.05,2,,,,,2,,,,
81.07,62.06,19.01,10,1,1,,,1,7,,,
81.07,62.76,18.31,2,2,,,,,,,,
81.07,63.17,17.9,2,2,,,,,,,,
81.07,66.43,14.64,2,2,,,,,,,,
81.07,67.05,14.02,182,35,11,5,23,4,104,,,
81.07,67.06,14.01,579,137,178,34,132,35,63,,,
81.07,67.4,13.67,2,1,,,1,,,,,
81.07,68.05,13.02,8,2,1,,,,5,,,
81.07,69.03,12.04,88,16,22,,18,6,26,,,
81.07,69.07,12,798,173,207,42,163,55,158,,,
81.07,70.07,11,3,1,,,,,2,,,
81.07,70.7,10.37,2,,,,1,,1,,,
81.07,70.73,10.34,3,,3,,,,,,,
81.07,71.01,10.06,9,,6,,3,,,,,
81.07,71.05,10.02,120,29,26,1,15,15,34,,,
81.07,71.09,9.98,401,109,86,16,137,13,40,,,
81.07,71.37,9.7,2,,2,,,,,,,
81.07,72.08,8.99,3,3,,,,,,,,
81.07,72.94,8.13,2,,,,,2,,,,
81.07,73.03,8.04,33,10,1,1,4,1,16,,,
81.07,74.1,6.97,3,,,3,,,,,,
81.07,78.76,2.31,3,2,,,1,,,,,
81.07,79.02,2.05,2,,1,,,1,,,,
81.07,79.05,2.02,323,66,60,12,52,17,116,,,
81.07,79.06,2.01,265,62,69,21,62,22,29,,,
81.07,80.05,1.02,9,1,3,,4,1,,,,
81.07,80.06,1.01,6,3,1,,,,2,,,
81.47,57.07,24.4,2,1,,,1,,,,,
81.47,71.09,10.38,2,1,,,1,,,,,
82.03,69.07,12.96,2,,,,,2,,,,
82.04,55.02,27.02,2,,1,,1,,,,,
82.04,55.06,26.98,4,,1,,2,1,,,,
82.04,57.03,25.01,4,,1,,2,1,,,,
82.04,67.05,14.99,2,,1,,1,,,,,
82.04,67.06,14.98,2,,,,1,1,,,,
82.04,69.03,13.01,4,,1,,2,1,,,,
82.04,69.07,12.97,4,,1,,2,1,,,,
82.04,71.05,10.99,4,,1,,2,1,,,,
82.04,79.05,2.99,3,,1,,2,,,,,
82.04,81.03,1.01,4,,1,,2,1,,,,
82.06,56.96,25.1,3,,,,,,3,,,
82.06,57.03,25.03,4,,,,,,4,,,
82.06,57.07,24.99,4,,,,,,4,,,
82.06,62.98,19.08,2,,,,,,2,,,
82.06,67.05,15.01,4,,,,,,4,,,
82.06,68.05,14.01,8,,,,,,8,,,
82.06,69.03,13.03,2,,,,,,2,,,
82.06,69.07,12.99,7,,,,,,7,,,
82.06,71.05,11.01,6,,,,,,6,,,
82.06,71.09,10.97,2,,,,,,2,,,
82.06,79.05,3.01,19,,,,,,19,,,
82.06,81.03,1.03,4,,,,,,4,,,
82.07,52.31,29.76,2,2,,,,,,,,
82.07,55.02,27.05,2,,,,2,,,,,
82.07,55.06,27.01,21,2,8,,10,1,,,,
82.07,56.05,26.02,2,,1,,1,,,,,
82.07,57.03,25.04,2,2,,,,,,,,
82.07,57.07,25,16,1,5,,9,1,,,,
82.07,58.07,24,2,,2,,,,,,,
82.07,60.05,22.02,18,,7,,9,2,,,,
82.07,63.02,19.05,2,2,,,,,,,,
82.07,67.06,15.01,24,3,9,,10,2,,,,
82.07,69.07,13,23,3,8,,10,1,1,,,
82.07,71.09,10.98,17,2,6,,8,1,,,,
82.07,72.08,9.99,2,2,,,,,,,,
82.07,79.05,3.02,10,1,1,,7,,1,,,
82.07,79.06,3.01,13,2,6,,3,2,,,,
82.07,80.05,2.02,8,,3,,4,1,,,,
82.07,81.06,1.01,4,,2,,2,,,,,
82.07,81.07,1,26,3,10,,10,2,1,,,
82.7,63.45,19.25,3,,,,,,,3,,
82.7,63.6,19.1,3,,,,,,,3,,
82.7,68.88,13.82,3,,,,,,,3,,
82.7,70.55,12.15,3,,,,,,,3,,
82.7,78.94,3.76,3,,,,,,,3,,
82.7,79.6,3.1,3,,,,,,,3,,
83.01,59.01,24,3,,,,,,,3,,
83.01,73.03,9.98,3,,,,,,,3,,
83.05,53.04,30.01,2,,,,,1,1,,,
83.05,55.02,28.03,37,2,17,1,13,4,,,,
83.05,55.05,28,28,9,,1,5,,13,,,
83.05,55.06,27.99,180,21,58,28,44,17,12,,,
83.05,55.93,27.12,2,,,,,,2,,,
83.05,57.03,26.02,77,10,29,4,26,2,6,,,
83.05,57.07,25.98,103,15,18,9,33,5,20,,3,
83.05,59.05,24,7,4,1,,,,2,,,
83.05,60.05,23,3,,,,3,,,,,
83.05,62.02,21.03,2,,,1,,1,,,,
83.05,67.05,16,43,13,3,2,8,3,14,,,
83.05,67.06,15.99,144,23,46,9,42,13,11,,,
83.05,69.03,14.02,53,10,21,,12,2,8,,,
83.05,69.07,13.98,193,36,49,9,55,17,27,,,
83.05,71.01,12.04,8,,5,,3,,,,,
83.05,71.05,12,69,15,22,1,13,9,9,,,
83.05,71.09,11.96,89,18,14,2,43,3,9,,,
83.05,73.03,10.02,7,1,1,,4,1,,,,
83.05,79.05,4,92,20,22,6,18,5,21,,,
83.05,79.06,3.99,87,11,26,4,31,11,4,,,
83.05,80.05,3,2,1,,,1,,,,,
83.05,80.06,2.99,5,3,1,,,,1,,,
83.05,81.03,2.02,83,8,27,5,31,4,8,,,
83.05,81.07,1.98,222,41,51,11,56,36,27,,,
83.05,82.04,1.01,4,,1,,2,1,,,,
83.07,82.06,1.01,6,,,,,,6,,,
83.08,55.02,28.06,2,1,,,,,1,,,
83.08,55.05,28.03,8,,,,,,8,,,
83.08,57.03,26.05,4,1,,,,,3,,,
83.08,57.07,26.01,2,,,,,,2,,,
83.08,67.05,16.03,10,1,,,,,9,,,
83.08,69.03,14.05,3,1,,,,,2,,,
83.08,69.07,14.01,13,1,,,,,12,,,
83.08,71.05,12.03,4,,,,,,4,,,
83.08,79.05,4.03,12,1,,,,,11,,,
83.08,81.03,2.05,2,,,,,,2,,,
83.08,81.07,2.01,14,2,,,,,12,,,
83.09,53.04,30.05,3,1,,,,1,1,,,
83.09,54.08,29.01,2,2,,,,,,,,
83.09,55.02,28.07,58,4,21,1,19,3,10,,,
83.09,55.05,28.04,57,12,,4,4,,37,,,
83.09,55.06,28.03,387,62,151,24,92,18,40,,,
83.09,55.93,27.16,4,,,,,,4,,,
83.09,55.94,27.15,4,1,,1,,2,,,,
83.09,56.05,27.04,3,1,1,,1,,,,,
83.09,56.97,26.12,3,,2,1,,,,,,
83.09,57.03,26.06,156,28,40,15,42,2,29,,,
83.09,57.07,26.02,379,81,109,17,100,13,59,,,
83.09,58.07,25.02,4,1,3,,,,,,,
83.09,59.05,24.04,7,3,1,1,,,2,,,
83.09,60.05,23.04,28,4,9,,10,2,3,,,
83.09,60.43,22.66,2,1,1,,,,,,,
83.09,61.01,22.08,2,,,,,2,,,,
83.09,61.03,22.06,21,11,,,,,10,,,
83.09,62.02,21.07,2,,,,,2,,,,
83.09,62.06,21.03,4,1,,,,,3,,,
83.09,63.17,19.92,2,2,,,,,,,,
83.09,66.43,16.66,2,2,,,,,,,,
83.09,67.05,16.04,124,24,7,4,19,2,68,,,
83.09,67.06,16.03,494,113,160,28,115,24,54,,,
83.09,69.03,14.06,74,11,22,,18,2,21,,,
83.09,69.07,14.02,683,148,193,33,144,32,133,,,
83.09,70.7,12.39,2,,,,1,,1,,,
83.09,70.73,12.36,2,,2,,,,,,,
83.09,71.01,12.08,9,,6,,3,,,,,
83.09,71.05,12.04,93,23,24,,15,6,25,,,
83.09,71.09,12,382,103,86,15,119,10,49,,,
83.09,72.94,10.15,2,,,,,2,,,,
83.09,73.03,10.06,25,4,1,,4,1,15,,,
83.09,73.07,10.02,10,,,,,,10,,,
83.09,78.76,4.33,2,1,,,1,,,,,
83.09,79.02,4.07,2,,1,,,1,,,,
83.09,79.05,4.04,234,46,50,11,45,10,72,,,
83.09,79.06,4.03,235,56,65,18,56,14,26,,,
83.09,80.05,3.04,7,,3,,4,,,,,
83.09,80.06,3.03,5,2,1,,,,2,,,
83.09,81.03,2.06,116,16,35,5,37,5,18,,,
83.09,81.06,2.03,4,,2,,2,,,,,
83.09,81.07,2.02,716,162,204,35,149,31,135,,,
83.09,82.04,1.05,4,,1,,2,1,,,,
83.09,82.07,1.02,23,2,9,,10,1,1,,,
83.98,59.98,24,2,,,,,,,2,,
83.98,71.01,12.97,2,,,,,,,2,,
84.04,55.05,28.99,5,1,,,,,4,,,
84.04,57.07,26.97,2,2,,,,,,,,
84.08,58.07,26.01,5,,3,,1,1,,,,
84.08,69.03,15.05,2,,,,,,2,,,
84.08,72.08,12,5,,,,,,5,,,
84.08,81.07,3.01,7,,4,,1,1,1,,,
84.08,82.06,2.02,2,,,,,,2,,,
84.09,55.06,29.03,2,,2,,,,,,,
84.09,57.07,27.02,2,,2,,,,,,,
84.09,58.07,26.02,2,,2,,,,,,,
84.09,67.06,17.03,2,,2,,,,,,,
84.09,69.07,15.02,2,,2,,,,,,,
84.09,71.09,13,2,,2,,,,,,,
84.09,81.07,3.02,2,,2,,,,,,,
84.09,82.07,2.02,2,,2,,,,,,,
84.09,83.09,1,3,,2,,,,1,,,
84.32,52.72,31.6,2,,,,,,,2,,
84.32,54.96,29.36,2,,,,,,,2,,
84.32,59.01,25.31,2,,,,,,,2,,
84.32,66.31,18.01,2,,,,,,,2,,
84.96,52.31,32.65,2,2,,,,,,,,
84.96,55.02,29.94,4,3,,,,1,,,,
84.96,55.05,29.91,4,3,,,,,1,,,
84.96,55.06,29.9,6,3,,1,,2,,,,
84.96,56.96,28,4,1,,,,,3,,,
84.96,57.03,27.93,2,2,,,,,,,,
84.96,57.07,27.89,6,2,,1,,2,1,,,
84.96,58.07,26.89,4,,1,,1,1,1,,,
84.96,59.05,25.91,2,2,,,,,,,,
84.96,61.03,23.93,3,1,1,,,,1,,,
84.96,62.02,22.94,2,,1,,,1,,,,
84.96,63.02,21.94,2,2,,,,,,,,
84.96,67.05,17.91,12,9,,,,,3,,,
84.96,67.06,17.9,3,1,,,,2,,,,
84.96,69.03,15.93,7,5,1,,,,1,,,
84.96,69.07,15.89,16,9,,,,2,5,,,
84.96,71.05,13.91,8,6,,,,1,1,,,
84.96,71.09,13.87,3,1,,,,1,1,,,
84.96,72.08,12.88,2,2,,,,,,,,
