,parent,daughter,loss,count
0,54.83,53.55,1.2800000000000011,1
1,55.06,53.19,1.8700000000000045,1
2,57.03,54.17,2.8599999999999994,1
3,57.03,55.02,2.009999999999998,1
4,57.03,55.05,1.980000000000004,4
5,57.03,55.06,1.9699999999999989,2
6,57.07,53.19,3.8800000000000026,1
7,57.07,53.55,3.520000000000003,1
8,57.07,54.83,2.240000000000002,1
9,57.07,55.02,2.049999999999997,1
10,57.07,55.06,2.009999999999998,13
11,58.54,53.55,4.990000000000002,1
12,58.54,54.83,3.710000000000001,1
13,58.54,57.07,1.4699999999999989,1
14,58.99,53.55,5.440000000000005,1
15,58.99,54.83,4.160000000000004,1
16,58.99,57.07,1.9200000000000017,1
17,59.65,50.28,9.369999999999997,1
18,59.65,51.14,8.509999999999998,1
19,60.05,57.07,2.979999999999997,3
20,61.03,55.02,6.009999999999998,1
21,61.03,57.03,4.0,5
22,61.03,57.07,3.960000000000001,4
23,62.06,57.07,4.990000000000002,2
24,62.13,55.06,7.07,1
25,62.13,57.03,5.100000000000001,1
26,62.13,57.07,5.060000000000002,1
27,62.36,53.55,8.810000000000002,1
28,62.36,54.83,7.530000000000001,1
29,62.36,57.07,5.289999999999999,1
30,62.36,58.54,3.8200000000000003,1
31,62.36,58.99,3.3699999999999974,1
32,62.76,55.06,7.699999999999996,1
33,62.76,57.03,5.729999999999997,1
34,62.76,57.07,5.689999999999998,1
35,63.08,54.17,8.909999999999997,1
36,63.08,55.05,8.030000000000001,1
37,63.08,57.03,6.049999999999997,1
38,63.17,51.29,11.880000000000003,1
39,64.01,53.19,10.820000000000007,1
40,64.01,55.06,8.950000000000003,1
41,64.01,57.07,6.940000000000005,1
42,64.88,55.06,9.819999999999993,1
43,64.88,57.03,7.849999999999994,1
44,64.88,57.07,7.809999999999995,1
45,64.88,62.13,2.749999999999993,1
46,64.88,62.76,2.1199999999999974,1
47,65.37,54.17,11.200000000000003,1
48,65.37,55.05,10.320000000000007,1
49,65.37,57.03,8.340000000000003,1
50,65.37,63.08,2.2900000000000063,1
51,66.43,53.55,12.88000000000001,1
52,66.43,54.83,11.600000000000009,1
53,66.43,57.07,9.360000000000007,1
54,66.43,58.54,7.890000000000008,1
55,66.43,58.99,7.440000000000005,1
56,66.43,62.36,4.070000000000007,1
57,67.05,55.02,12.029999999999994,1
58,67.05,55.05,12.0,6
59,67.05,57.03,10.019999999999996,5
60,67.05,57.07,9.979999999999997,1
61,67.06,50.28,16.78,1
62,67.06,51.14,15.920000000000002,1
63,67.06,51.29,15.770000000000003,1
64,67.06,53.55,13.510000000000005,1
65,67.06,54.17,12.89,1
66,67.06,54.83,12.230000000000004,1
67,67.06,55.05,12.010000000000005,1
68,67.06,55.06,12.0,22
69,67.06,55.82,11.240000000000002,1
70,67.06,55.94,11.120000000000005,1
71,67.06,57.03,10.030000000000001,8
72,67.06,57.07,9.990000000000002,23
73,67.06,58.54,8.520000000000003,1
74,67.06,58.99,8.07,1
75,67.06,59.65,7.410000000000004,1
76,67.06,60.05,7.010000000000005,4
77,67.06,62.13,4.93,1
78,67.06,62.36,4.700000000000003,1
79,67.06,62.76,4.300000000000004,1
80,67.06,63.08,3.980000000000004,1
81,67.06,63.17,3.8900000000000006,1
82,67.06,64.88,2.180000000000007,1
83,67.06,65.37,1.6899999999999977,1
84,67.66,66.35,1.3100000000000023,1
85,69.03,55.02,14.009999999999998,1
86,69.03,55.06,13.969999999999999,1
87,69.03,57.03,12.0,12
88,69.03,57.07,11.96,1
89,69.03,61.03,8.0,5
90,69.03,67.05,1.980000000000004,2
91,69.03,67.06,1.9699999999999989,1
92,69.07,51.29,17.779999999999994,1
93,69.07,53.19,15.879999999999995,1
94,69.07,53.55,15.519999999999996,1
95,69.07,54.17,14.899999999999991,1
96,69.07,54.83,14.239999999999995,1
97,69.07,55.02,14.04999999999999,1
98,69.07,55.05,14.019999999999996,4
99,69.07,55.06,14.009999999999991,25
100,69.07,55.94,13.129999999999995,1
101,69.07,57.03,12.039999999999992,11
102,69.07,57.07,11.999999999999993,31
103,69.07,58.54,10.529999999999994,1
104,69.07,58.99,10.079999999999991,1
105,69.07,60.05,9.019999999999996,4
106,69.07,62.13,6.939999999999991,1
107,69.07,62.36,6.709999999999994,1
108,69.07,62.76,6.309999999999995,1
109,69.07,63.08,5.989999999999995,1
110,69.07,63.17,5.8999999999999915,1
111,69.07,64.01,5.059999999999988,1
112,69.07,64.88,4.189999999999998,1
113,69.07,65.37,3.6999999999999886,1
114,69.07,66.43,2.6399999999999864,1
115,69.07,67.05,2.019999999999996,12
116,69.07,67.06,2.009999999999991,67
117,70.05,56.27,13.779999999999994,1
118,70.05,57.1,12.949999999999996,1
119,70.24,50.04,20.199999999999996,1
120,71.05,54.17,16.879999999999995,1
121,71.05,55.05,16.0,1
122,71.05,55.06,15.989999999999995,4
123,71.05,57.03,14.019999999999996,1
124,71.05,57.07,13.979999999999997,2
125,71.05,63.08,7.969999999999999,1
126,71.05,65.37,5.679999999999993,1
127,71.05,67.05,4.0,4
128,71.05,67.06,3.989999999999995,4
129,71.05,69.03,2.019999999999996,2
130,71.05,69.07,1.980000000000004,8
131,71.06,51.29,19.770000000000003,1
132,71.06,63.17,7.890000000000001,1
133,71.06,67.06,4.0,1
134,71.06,69.07,1.990000000000009,1
135,71.09,53.55,17.540000000000006,1
136,71.09,54.17,16.92,1
137,71.09,54.83,16.260000000000005,1
138,71.09,55.05,16.040000000000006,1
139,71.09,55.06,16.03,12
140,71.09,57.03,14.060000000000002,6
