,parent,daughter,loss,count
143,80.06,69.07,10.990000000000009,1
144,80.06,71.09,8.969999999999999,2
145,80.06,73.03,7.030000000000001,2
146,80.06,79.05,1.0100000000000051,1
147,81.03,55.02,26.009999999999998,2
148,81.03,55.05,25.980000000000004,3
149,81.03,57.03,24.0,1
150,81.03,57.07,23.96,3
151,81.03,67.05,13.980000000000004,7
152,81.03,67.06,13.969999999999999,3
153,81.03,69.03,12.0,12
154,81.03,69.07,11.960000000000008,9
155,81.03,71.05,9.980000000000004,2
156,81.03,71.09,9.939999999999998,3
157,81.03,73.03,8.0,2
158,81.03,79.05,1.980000000000004,6
159,81.03,79.06,1.9699999999999989,2
160,81.07,55.02,26.04999999999999,2
161,81.07,55.05,26.019999999999996,13
162,81.07,55.06,26.00999999999999,22
163,81.07,55.07,25.999999999999993,1
164,81.07,55.93,25.139999999999993,2
165,81.07,56.67,24.39999999999999,1
166,81.07,56.96,24.109999999999992,1
167,81.07,57.03,24.039999999999992,9
168,81.07,57.07,23.999999999999993,17
169,81.07,59.05,22.019999999999996,1
170,81.07,60.05,21.019999999999996,2
171,81.07,61.03,20.039999999999992,6
172,81.07,62.06,19.00999999999999,4
173,81.07,64.31,16.75999999999999,1
174,81.07,67.05,14.019999999999996,72
175,81.07,67.06,14.009999999999991,55
176,81.07,67.2,13.86999999999999,1
177,81.07,68.27,12.799999999999997,1
178,81.07,69.03,12.039999999999992,12
179,81.07,69.07,12.0,111
180,81.07,70.29,10.779999999999987,1
181,81.07,70.51,10.559999999999988,1
182,81.07,71.05,10.019999999999996,9
183,81.07,71.09,9.97999999999999,25
184,81.07,73.03,8.039999999999992,3
185,81.07,74.32,6.75,1
186,81.07,79.05,2.019999999999996,72
187,81.07,79.06,2.009999999999991,23
188,81.07,80.06,1.009999999999991,1
189,82.06,57.03,25.03,1
190,82.06,57.07,24.990000000000002,1
191,82.06,58.07,23.990000000000002,1
192,82.06,62.98,19.080000000000005,1
193,82.06,67.05,15.010000000000005,1
194,82.06,68.05,14.010000000000005,7
195,82.06,69.03,13.030000000000001,1
196,82.06,69.07,12.990000000000009,2
197,82.06,71.09,10.969999999999999,1
198,82.06,73.03,9.030000000000001,1
199,82.06,79.05,3.010000000000005,7
200,82.06,81.03,1.0300000000000011,2
201,82.07,55.93,26.139999999999993,1
202,82.07,56.96,25.109999999999992,1
203,82.07,67.05,15.019999999999996,1
204,82.07,69.07,13.0,1
205,82.07,79.05,3.019999999999996,1
206,82.07,80.06,2.009999999999991,1
