,parent,loss,count
0,73.849,17.090000000000003,1
1,80.86,7.010999999999996,1
2,80.86,24.101,1
3,80.861,7.0120000000000005,1
4,80.861,24.102000000000004,1
5,80.862,7.012999999999991,1
6,80.862,24.102999999999994,1
7,82.064,1.2019999999999982,1
8,82.064,1.2029999999999887,1
9,82.064,1.2039999999999935,1
10,82.064,8.21499999999999,1
11,82.064,25.304999999999993,1
12,82.065,1.203000000000003,1
13,82.065,1.2039999999999935,1
14,82.065,1.2049999999999983,1
15,82.065,8.215999999999994,1
16,82.065,25.305999999999997,1
17,82.066,1.2040000000000077,1
18,82.066,1.2049999999999983,1
19,82.066,1.206000000000003,1
20,82.066,8.216999999999999,1
21,82.066,25.307000000000002,1
22,82.067,1.2049999999999983,1
23,82.067,1.2059999999999889,1
24,82.067,1.2069999999999936,1
25,82.067,8.21799999999999,1
26,82.067,25.307999999999993,1
27,90.975,8.908000000000001,1
28,90.975,8.908999999999992,1
29,90.975,8.909999999999997,1
30,90.975,8.911000000000001,1
31,90.975,10.113,1
32,90.975,10.11399999999999,1
33,90.975,10.114999999999995,1
34,90.975,17.12599999999999,1
35,90.975,34.215999999999994,1
36,90.976,8.909000000000006,1
37,90.976,8.909999999999997,1
38,90.976,8.911000000000001,1
39,90.976,8.912000000000006,1
40,90.976,10.114000000000004,1
41,90.976,10.114999999999995,1
42,90.976,10.116,1
43,90.976,17.126999999999995,1
44,90.976,34.217,1
45,90.977,8.91000000000001,1
46,90.977,8.911000000000001,1
47,90.977,8.912000000000006,1
48,90.977,8.913000000000011,1
49,90.977,10.115000000000009,1
50,90.977,10.116,1
51,90.977,10.117000000000004,1
52,90.977,17.128,1
53,90.977,34.218,1
54,90.978,8.911000000000001,1
55,90.978,8.911999999999992,1
56,90.978,8.912999999999997,1
57,90.978,8.914000000000001,1
58,90.978,10.116,1
59,90.978,10.11699999999999,1
60,90.978,10.117999999999995,1
61,90.978,17.12899999999999,1
62,90.978,34.218999999999994,1
63,90.979,8.912000000000006,1
64,90.979,8.912999999999997,1
65,90.979,8.914000000000001,1
66,90.979,8.915000000000006,1
67,90.979,10.117000000000004,1
68,90.979,10.117999999999995,1
69,90.979,10.119,1
70,90.979,17.129999999999995,1
71,90.979,34.22,1
72,96.149,5.170000000000002,1
73,96.149,5.1710000000000065,1
74,96.149,5.171999999999997,1
75,96.149,5.173000000000002,1
76,96.149,5.174000000000007,1
77,96.149,14.082000000000008,1
78,96.149,14.082999999999998,1
79,96.149,14.084000000000003,1
80,96.149,14.085000000000008,1
81,96.149,15.287000000000006,1
82,96.149,15.287999999999997,1
83,96.149,15.289000000000001,1
84,96.149,22.299999999999997,1
85,96.149,39.39,1
86,96.15,5.1710000000000065,1
87,96.15,5.172000000000011,1
88,96.15,5.173000000000002,1
89,96.15,5.174000000000007,1
90,96.15,5.175000000000011,1
91,96.15,14.083000000000013,1
92,96.15,14.084000000000003,1
93,96.15,14.085000000000008,1
94,96.15,14.086000000000013,1
95,96.15,15.288000000000011,1
96,96.15,15.289000000000001,1
97,96.15,15.290000000000006,1
98,96.15,22.301000000000002,1
99,96.15,39.391000000000005,1
100,96.151,5.171999999999997,1
101,96.151,5.173000000000002,1
102,96.151,5.173999999999992,1
103,96.151,5.174999999999997,1
104,96.151,5.176000000000002,1
105,96.151,14.084000000000003,1
106,96.151,14.084999999999994,1
107,96.151,14.085999999999999,1
108,96.151,14.087000000000003,1
109,96.151,15.289000000000001,1
110,96.151,15.289999999999992,1
111,96.151,15.290999999999997,1
112,96.151,22.301999999999992,1
113,96.151,39.391999999999996,1
114,105.032,8.881,1
115,105.032,8.88199999999999,1
116,105.032,8.882999999999996,1
117,105.032,14.052999999999997,1
118,105.032,14.054000000000002,1
119,105.032,14.054999999999993,1
120,105.032,14.055999999999997,1
121,105.032,14.057000000000002,1
122,105.032,22.965000000000003,1
123,105.032,22.965999999999994,1
124,105.032,22.967,1
125,105.032,22.968000000000004,1
126,105.032,24.17,1
127,105.032,24.170999999999992,1
128,105.032,24.171999999999997,1
129,105.032,31.182999999999993,1
130,105.032,48.272999999999996,1
131,105.033,8.882000000000005,1
132,105.033,8.882999999999996,1
133,105.033,8.884,1
134,105.033,14.054000000000002,1
135,105.033,14.055000000000007,1
136,105.033,14.055999999999997,1
137,105.033,14.057000000000002,1
138,105.033,14.058000000000007,1
139,105.033,22.966000000000008,1
140,105.033,22.967,1
141,105.033,22.968000000000004,1
142,105.033,22.96900000000001,1
143,105.033,24.171000000000006,1
144,105.033,24.171999999999997,1
145,105.033,24.173000000000002,1
146,105.033,31.183999999999997,1
147,105.033,48.274,1
148,105.034,8.88300000000001,1
149,105.034,8.884,1
150,105.034,8.885000000000005,1
151,105.034,14.055000000000007,1
152,105.034,14.056000000000012,1
153,105.034,14.057000000000002,1
154,105.034,14.058000000000007,1
155,105.034,14.059000000000012,1
156,105.034,22.967000000000013,1
