,parent,loss,count
0,55.1,0.0,1
1,55.1,0.10000000000000142,2
2,55.9,0.7999999999999972,2
3,56.7,1.6000000000000014,2
4,57.0,1.1000000000000014,1
5,57.0,1.8999999999999986,2
6,57.1,0.3999999999999986,1
7,57.1,2.0,9
8,58.2,5.600000000000001,1
9,59.0,1.8999999999999986,1
10,59.0,2.299999999999997,1
11,59.0,3.8999999999999986,2
12,60.1,3.1000000000000014,1
13,61.0,3.8999999999999986,2
14,61.0,4.0,2
15,62.1,5.0,2
16,63.0,5.899999999999999,2
17,67.1,4.999999999999993,4
18,67.1,6.099999999999994,4
19,67.1,7.099999999999994,2
20,67.1,8.099999999999994,1
21,67.1,9.999999999999993,5
22,67.1,10.099999999999994,10
23,67.1,10.399999999999991,1
24,67.1,11.199999999999996,2
25,67.1,11.999999999999993,33
26,67.1,12.099999999999994,2
27,67.2,0.10000000000000853,1
28,67.2,12.100000000000001,1
29,68.3,1.0999999999999943,1
30,68.3,1.2000000000000028,1
31,68.3,13.199999999999996,1
32,68.8,10.599999999999994,1
33,68.8,16.199999999999996,1
34,69.0,1.9000000000000057,9
35,69.0,6.0,2
36,69.0,8.0,2
37,69.0,11.899999999999999,6
38,69.0,12.0,6
39,69.0,13.899999999999999,3
40,69.0,14.0,2
41,69.1,0.09999999999999432,9
42,69.1,1.0999999999999943,1
43,69.1,2.0,90
44,69.1,6.999999999999993,2
45,69.1,8.099999999999994,2
46,69.1,9.099999999999994,2
47,69.1,10.099999999999994,1
48,69.1,11.999999999999993,15
49,69.1,12.099999999999994,7
50,69.1,12.399999999999991,1
51,69.1,13.199999999999996,2
52,69.1,13.999999999999993,34
53,69.1,14.099999999999994,2
54,70.1,1.0999999999999943,1
55,70.1,9.099999999999994,1
56,70.1,13.099999999999994,1
57,70.3,2.0,1
58,70.3,3.0999999999999943,1
59,70.3,3.200000000000003,1
60,70.3,15.199999999999996,1
61,70.5,0.20000000000000284,1
62,70.5,2.200000000000003,1
63,70.5,3.299999999999997,1
64,70.5,3.4000000000000057,1
65,70.5,15.399999999999999,1
66,71.0,1.9000000000000057,7
67,71.0,2.0,2
68,71.0,3.9000000000000057,6
69,71.0,13.899999999999999,1
70,71.0,15.899999999999999,3
71,71.0,16.0,2
72,71.1,0.09999999999999432,1
73,71.1,2.0,16
74,71.1,2.0999999999999943,3
75,71.1,4.0,10
76,71.1,8.999999999999993,1
77,71.1,10.099999999999994,3
78,71.1,13.999999999999993,52
79,71.1,15.999999999999993,7
80,72.1,13.999999999999993,1
81,73.0,1.9000000000000057,5
82,73.0,2.0,2
83,73.0,2.9000000000000057,1
84,73.0,3.9000000000000057,3
85,73.0,4.0,10
86,73.0,5.900000000000006,3
87,73.0,10.0,1
88,73.0,12.0,3
89,73.0,15.899999999999999,1
90,73.0,16.0,6
91,73.0,17.9,2
92,73.0,18.0,2
93,73.1,2.0,9
94,73.1,15.999999999999993,3
95,74.3,3.799999999999997,1
96,74.3,4.0,1
97,74.3,6.0,1
98,74.3,7.099999999999994,1
99,74.3,7.200000000000003,1
100,74.3,19.199999999999996,1
101,79.1,6.099999999999994,2
102,79.1,8.0,6
103,79.1,8.099999999999994,5
104,79.1,10.0,70
105,79.1,10.099999999999994,7
106,79.1,12.0,86
107,79.1,14.799999999999997,1
108,79.1,16.999999999999993,1
109,79.1,18.099999999999994,2
110,79.1,20.099999999999994,1
111,79.1,21.999999999999993,4
112,79.1,22.099999999999994,9
113,79.1,22.39999999999999,1
114,79.1,23.199999999999996,2
115,79.1,23.999999999999993,29
116,79.1,24.099999999999994,2
117,79.6,13.0,1
118,80.1,1.0,1
119,80.1,7.099999999999994,2
120,80.1,9.0,2
121,80.1,11.0,1
122,80.1,13.0,1
123,80.1,23.099999999999994,1
124,80.1,24.199999999999996,1
125,81.0,1.9000000000000057,8
126,81.0,8.0,2
127,81.0,9.900000000000006,3
128,81.0,10.0,2
129,81.0,11.900000000000006,9
130,81.0,12.0,12
131,81.0,13.900000000000006,10
132,81.0,23.9,3
133,81.0,24.0,1
134,81.0,25.9,3
135,81.0,26.0,2
136,81.1,0.09999999999999432,13
137,81.1,1.0,1
138,81.1,2.0,95
139,81.1,6.799999999999997,1
140,81.1,8.099999999999994,3
141,81.1,10.0,25
142,81.1,10.099999999999994,9
143,81.1,10.599999999999994,1
144,81.1,10.799999999999997,1
145,81.1,12.0,111
146,81.1,12.099999999999994,12
147,81.1,12.799999999999997,1
148,81.1,13.899999999999991,1
149,81.1,14.0,127
150,81.1,16.799999999999997,1
151,81.1,18.999999999999993,4
152,81.1,20.099999999999994,6
153,81.1,21.099999999999994,2
154,81.1,22.099999999999994,1
155,81.1,23.999999999999993,17
156,81.1,24.099999999999994,10
157,81.1,24.39999999999999,1
158,81.1,25.199999999999996,2
159,81.1,25.999999999999993,36
160,81.1,26.099999999999994,2
161,82.1,1.0,5
162,82.1,1.0999999999999943,2
163,82.1,2.0,1
164,82.1,3.0,8
165,82.1,9.099999999999994,1
166,82.1,11.0,1
167,82.1,13.0,3
168,82.1,13.099999999999994,1
169,82.1,14.099999999999994,7
170,82.1,15.0,2
171,82.1,19.099999999999994,1
172,82.1,23.999999999999993,1
173,82.1,24.999999999999993,1
174,82.1,25.099999999999994,2
175,82.1,26.199999999999996,1
176,82.4,1.3000000000000114,1
177,82.4,8.100000000000009,1
178,82.4,11.900000000000006,1
179,82.4,12.100000000000009,1
180,82.4,14.100000000000009,1
181,82.4,15.200000000000003,1
182,82.4,15.300000000000011,1
183,82.4,27.300000000000004,1
184,83.0,0.9000000000000057,3
185,83.0,1.9000000000000057,12
186,83.0,2.0,3
187,83.0,3.9000000000000057,10
188,83.0,11.900000000000006,4
189,83.0,13.900000000000006,12
190,83.0,14.0,2
191,83.0,15.900000000000006,12
192,83.0,24.0,1
193,83.0,25.9,10
194,83.0,26.0,1
195,83.0,26.299999999999997,1
196,83.0,27.1,1
197,83.0,27.9,11
198,83.1,0.09999999999999432,12
199,83.1,1.0,1
200,83.1,2.0,79
201,83.1,2.0999999999999943,9
202,83.1,4.0,41
203,83.1,10.099999999999994,1
204,83.1,12.0,19
205,83.1,12.099999999999994,3
206,83.1,14.0,75
207,83.1,14.099999999999994,7
208,83.1,16.0,60
209,83.1,22.099999999999994,3
210,83.1,23.099999999999994,1
211,83.1,24.099999999999994,1
